date,description
1931-09-21,"The keel of Admiral Scheer was laid down by Reichsmarinewerft in Wilhelmshaven, Germany.ww2dbase[Admiral Scheer|Wilhelmshaven, Weser-Ems|CPC]"
1931-09-23,"The keel of light cruiser Pinghai was laid down at the Jiangnan Arsenal in Shanghai, China with Chinese Secretary of the Navy Chen Shaokuan in attendence.ww2dbase[Jiangnan Arsenal|Pinghai|Shanghai|CPC]"
1931-09-24,Arthur Greiser joined the SS organization of the Nazi Party.ww2dbase[Arthur Greiser|CPC]
1931-09-25,Peter Drummond was promoted to the rank of wing commander.ww2dbase[Peter Drummond|CPC]
1931-09-26,"Chinese and Korean farmers engaged in a petty dispute over land boundaries at the village of Wanpaoshan in Jilin Province, China.  As it escalated, Chinese farmers attacked the Koreans with farm tools and pikes.  In response, Japanese consular policemen who had been protecting the Koreans fired their rifles over the heads of the Chinese, forcing the Chinese to back down.  Although the incident was minor, it gave the Japanese Kwantung Army an excuse to draw up a plan to invade and occupy northeastern China, ostensibly to protect Japanese nationals.ww2dbase[Mukden Incident|Wanpaoshan, Jilin|CPC]"
1931-09-27,US Navy issued an order from Consolidated Aircraft for 23 P2Y-3 aircraft.ww2dbase[P2Y|CPC]
1931-09-29,"Reinhard Heydrich joined the Nazi SS organization, receiving SS identification number 10,120.ww2dbase[Reinhard Heydrich|CPC]"
1931-09-30,"Song Ziwen survived an assassination attempt at the Shanghai North Railway Station in Shanghai, China.ww2dbase[Song Ziwen|Shanghai|CPC]"
1931-10-01,HMS Exeter was commissioned into service.ww2dbase[Exeter|CPC]
1931-10-02,"Tatsuta Maru arrived at San Francisco, California, United States.ww2dbase[Tatsuta Maru|San Francisco, California|CPC]"
1931-10-05,Shigeru Honjo was named the commanding officer of the Japanese Kwantung Army in northeastern China.ww2dbase[CPC]
1931-10-06,Lieutenant General Saburo Hayashi was named the commanding officer of the Taiwan Army.ww2dbase[CPC]
1931-10-07,"USS Arizona departed Norfolk, Virginia, United States for San Pedro, California, United States.ww2dbase[Arizona|Norfolk, Virginia|CPC]"
1931-10-08,"The Do X aircraft departed Rio de Janeiro, Brazil.ww2dbase[Do X|CPC]"
1931-10-09,"Yan Xishan arrived at Datong, Shanxi Province, China by aircraft.ww2dbase[Yan Xishan|Datong, Shanxi|CPC]"
1931-10-10,Workers go on strike at the Hoover Dam in the United States.ww2dbase[CPC]
1931-10-11,Foch was commissioned into service.ww2dbase[Foch|CPC]
1931-10-14,"The keel of Émile Bertin was laid down by Chantiers de Penhoët at Saint-Nazaire, France.ww2dbase[Émile Bertin|Saint-Nazaire, Pays de la Loire|CPC]"
1931-10-15,Masafumi Arima was made the gunnery officer of Asama.ww2dbase[Masafumi Arima|CPC]
1931-10-18,"The first flight from the newly completed Haneda Airfield in Japan took off, carrying cargo to Dairen, Kwantung Leased Territory (now Dalian, Liaoning Province, China).ww2dbase[Haneda Airfield|Tokyo|CPC]"
1931-10-20,"USS New York arrived at Puget Sound Naval Shipyard for an overhaul.ww2dbase[Puget Sound Navy Yard|New York|Bremerton, Washington|DS]"
1931-10-26,"The Do X aircaft arrived in New York, United States.ww2dbase[Do X|CPC]"
1931-10-31,"HMS Hermes arrived at Hankou, Hubei Province, China.ww2dbase[Hermes|Hankou, Hubei|CPC]"
1931-11-01,Chiaki Matsuda was assigned to the first division of the Naval General Staff.ww2dbase[Chiaki Matsuda|Tokyo|CPC]
1931-11-02,Kenkichi Ueda was awarded Order of the Sacred Treasure 1st Class.ww2dbase[Kenkichi Ueda|CPC]
1931-11-03,"By gaining the UK's third consecutive win, Flight Lieutenant J. N. Boothman flying the Supermarine S6B secured the Schneider Trophy for the nation.  He had flown the 350-kilometer course uncontested at an average speed of 340.08 miles per hour.ww2dbase[AC]"
1931-11-04,"The Invergordon Mutiny, a mutiny by men of the British Atlantic Fleet in protest against threatened pay cuts, began.ww2dbase[AC]"
1931-11-07,Josias was promoted to the rank of SS-Oberführer.ww2dbase[Josias|CPC]
1931-11-12,The Invergordon Mutiny crisis passed when the British Admiralty promised to revise the proposed cuts.  The mutiny caused such alarm on the exchange markets that the government was provoked into taking sterling off the gold standard.ww2dbase[AC]
1931-11-15,Kurt Fricke was named the commanding officer of 1st Torpedo Boat Flotilla.ww2dbase[Kurt Frike|CPC]
1931-11-17,"Japanese troops detonate a bomb on the rail line near Mukden, China.ww2dbase[Mukden Incident|Mukden, Liaoning|CPC]"
1931-11-18,"Japanese troops occupied Mukden, China.ww2dbase[Mukden Incident|Mukden, Liaoning|CPC]"
1931-11-19,"A run on the pound caused by panic in the London Stock Market led to the British national government abandoning the Gold Standard.ww2dbase[London, England|AC]"
